Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
IL33,23.27031012,0.574066194,0.313715871,0.002602951,0.088796132
SDS,8.487249768,0.575874521,0.327865659,0.002671884,0.089784306
ADK,34.34584044,-0.483281988,0.219228455,0.000873021,0.046800143
LOC100421402,8.176678354,-0.564829178,0.338354892,0.002503445,0.086582294
ZNF493,11.62872725,-0.542107818,0.304002958,0.001963445,0.07431731
RNU6-522P,18.0286974,0.44337293,0.172688059,0.00049184,0.034931985
MAFF,11.50417163,0.554186077,0.299022492,0.002293982,0.082178199
PLOD2,47.03308452,0.552739098,0.287065496,0.002285101,0.082178199
ZNF563,5.609846521,-0.524934309,0.249597714,0.001661455,0.068324481
COX7A2,77.14516581,0.420343106,0.152554557,0.000340622,0.027051543
FAM89A,9.266356513,0.484197567,0.222642008,0.001005657,0.05151848
Y_RNA,67.43430082,0.396852524,0.13614238,0.000222483,0.021413441
RPS6KL1,3.420371229,-0.605912956,0.404927571,0.004225717,NA
LNCSRLR,8.340787349,0.538133434,0.287564703,0.002157247,0.078592907
BAG1,21.22506165,0.461930962,0.192588263,0.00078452,0.044398658
KIF22,21.25401875,-0.447215647,0.185591199,0.000646601,0.039901558
PCAT2,2.833208245,0.594958235,0.454887855,0.004061494,NA
THSD7A,6.563386714,0.552130215,0.319674567,0.002684875,0.089784306
SGF29,12.68431093,-0.415025811,0.154485044,0.000425218,0.031398372
ADAM7-AS1,3.561970988,0.542135366,0.337972303,0.002739115,NA
FCRLA,3.149900269,0.606228828,0.548640208,0.005195389,NA
GAMT,7.973219704,-0.520713903,0.2872044,0.002213249,0.08024364
NFIL3,40.10235877,0.46553444,0.205713223,0.001128724,0.054652089
PALMD,5.107295298,0.470973697,0.227144402,0.001234998,0.057845172
IFITM2,106.4135239,0.444951766,0.184632846,0.000847162,0.046072119
FPR2,4.950496431,0.608393877,0.532332631,0.005773805,0.129337673
ZNF204P,22.95605797,-0.519598802,0.327383639,0.002395193,0.084792102
BNIP3P11,6.789459712,-0.555579458,0.389532945,0.003571623,0.099966913
RPL38P5,21.65744122,-0.494548775,0.271243709,0.001835279,0.072126075
MIR5581,38.13516002,-0.46058309,0.221426396,0.001165031,0.056048436
RNF133,9.73264518,-0.498414568,0.266160783,0.002014443,0.075029255
B4GALT2,18.40436385,0.425009781,0.175492985,0.000728998,0.042743184
SULF2,18.66582255,0.471025488,0.222637137,0.001493717,0.064987528
WASHC1,7.972959644,-0.496067963,0.262314402,0.002084187,0.076675607
TMEM154,7.692198411,0.43168732,0.187769947,0.000842844,0.046072119
CASP9,8.917420725,0.403478374,0.165072281,0.000532188,0.036642825
ALDH3B1,27.85981918,0.527699012,0.305718675,0.003178749,0.097572628
PDCD10,36.25877349,0.341911733,0.111352769,0.000143724,0.016984781
MAPKAPK3,44.49131238,-0.428718534,0.19017497,0.000865619,0.046737192
BCAS4,6.091765441,-0.508502299,0.285665004,0.002693994,0.089784306
MSTO2P,12.50203891,-0.441718305,0.196526012,0.001101857,0.054225794
NBAT1,5.028690064,0.563494333,0.423906388,0.004824425,0.116609693
ZNF433,6.401539429,-0.484612605,0.243396231,0.002030311,0.075246819
RPL5P34,6.356379026,0.466981938,0.235393364,0.001624631,0.068324481
CREM,11.66444629,0.414267999,0.173251153,0.000722987,0.042557008
ARL4C,51.33876505,0.456919032,0.210463734,0.001426794,0.063928896
PDZK1IP1,76.9883863,0.565434395,0.395391103,0.00507609,0.121325008
ECT2,31.28341504,0.499836866,0.268489246,0.00256077,0.087756065
IRAK3,28.94826846,0.559654912,0.389088755,0.004908281,0.118066173
ITGA6-AS1,5.517268215,0.536845846,0.375381978,0.004074221,0.107333854
TLR1,16.00066358,0.399656874,0.159980764,0.000619103,0.039376022
LAMTOR5,28.65495275,0.389381965,0.149810334,0.000512544,0.035782701
CXCL2,85.99477216,0.546001791,0.36472043,0.004665291,0.115331297
DNTTIP2,20.59476256,0.360759792,0.129380392,0.000300248,0.02518843
IGKV1-39,48.86833142,0.603746992,0.642850603,0.008082452,0.150218737
DHRS11,5.063065332,-0.502278964,0.284877327,0.003112459,0.096786913
FAM83A,18.55072767,0.605109508,0.73349375,0.008407008,0.152771414
NAGS,8.911760008,-0.50797448,0.341772681,0.003375456,0.098956245
